Especie,Invierno_%,Verano_%,Primavera_%,Otoño_%
Lecane quadridentata ,0.0,0.8492569002419301,0.0,0.0
Filinia sp.,0.0,0.8492569000508472,0.0,0.0
Lecane halyclista ,0.0,0.0,0.0,0.8174386920969788
Chydorus nitidulus ,0.0,0.0,0.6980802792640918,0.0
Harpacticoideos,0.0,0.0,0.6980802791593798,0.0
Cephalodella sp. ,0.0,0.4246284501528121,0.0,0.2724795640050783
Ephiphanes clavulata ,0.0,0.6369426751973711,0.0,0.0
Poliarthra sp.1,0.0,0.6369426751973711,0.0,0.0
Horaella cf. biemi ,0.0,0.0,0.0,0.5449591280919006
Keratella tropica ,0.0,0.0,0.0,0.5449591280919006
Platya quadricornis ,0.0,0.0,0.0,0.5449591280101567
Epiphanes macraura ,0.0,0.0,0.0,0.5449591280101567
Hexarthra sp. ,0.0,0.0,0.0,0.5449591280101567
Bedelloideos,0.0,0.0,0.5235602094218909,0.0
Alona sp. ,0.0,0.4246284501528121,0.0,0.0
Plationus patulus ,0.0,0.4246284501528121,0.0,0.0
Trichocerca cf. bicrsitata ,0.0,0.4246284501528121,0.0,0.0
Macrothrix sp.  ,0.0,0.4246284501528121,0.0,0.0
Mytilina ventralis ,0.0,0.4246284501528121,0.0,0.0
Harpacticoideos ,0.3766478342351602,0.0,0.0,0.0
Chydorido sp1. (con placas) ,0.3766478342351602,0.0,0.0,0.0
Brachionus plicatilis ,0.0,0.0,0.3490401395796899,0.0
Daphnia sp. ,0.0,0.0,0.3490401395796899,0.0
Cephalodella sp1.,0.0,0.0,0.3490401395796899,0.0
Plationus macrocantus ,0.0,0.0,0.0,0.2724795640050783
Dafnia sp. 1,0.0,0.0,0.0,0.2724795640050783
Brachionus dimidiatus,0.0,0.0,0.0,0.2724795640050783
Lepadella cf. ovalis ,0.0,0.0,0.0,0.2724795640050783
Trichocerca bicristata,0.0,0.0,0.0,0.2724795640050783
Lecane leontina ,0.0,0.0,0.0,0.2724795640050783
Lecane scutata,0.0,0.0,0.0,0.2724795640050783
Lecane papuana ,0.0,0.2123142250445589,0.0,0.0
Ascomorpha sp. ,0.0,0.2123142250445589,0.0,0.0
Brachionus angularis ,0.0,0.2123142250445589,0.0,0.0
Horaella sp ,0.0,0.2123142250445589,0.0,0.0
Lecane hamata,0.0,0.2123142250445589,0.0,0.0
Lepadella ovalis,0.0,0.2123142250445589,0.0,0.0
Brachionus budapestinensis ,0.0,0.0,0.1745200698422009,0.0
